,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,train_mcc,test_mcc,model,rebalance_type
0,0.6397849462365591,0.40425531914893614,0.6564764293118968,0.34431372549019607,0.5165755430011945,0.17108323315187576,svc,combine_smotenn
1,0.5483870967741935,0.3829787234042553,0.584853172664604,0.29432624113475175,0.4414732407029242,0.09867263105929557,svc,combine_smotenn
2,0.6182795698924731,0.3617021276595745,0.6386159664169653,0.2745571658615137,0.5069154165199827,0.062364806244454764,svc,combine_smotenn
3,0.42245989304812837,0.43478260869565216,0.37103174603174605,0.2801932367149758,0.13727375947742906,0.07818216975306176,svc,combine_smotenn
4,0.5882352941176471,0.5434782608695652,0.5806209033859383,0.4624232671792121,0.4423505329348903,0.27947616157252303,svc,combine_smotenn
0,0.5913978494623656,0.3617021276595745,0.5826925976179708,0.35243664717348927,0.46767446689227554,0.10454463987236219,knn,combine_smotenn
1,0.4032258064516129,0.3829787234042553,0.40120225980914154,0.3689671037497124,0.2678241183078412,0.16812733634357294,knn,combine_smotenn
2,0.5698924731182796,0.3191489361702128,0.5658459156020132,0.302047502047502,0.4424360956422092,0.054498130165662975,knn,combine_smotenn
3,0.5454545454545454,0.43478260869565216,0.537453964095152,0.4196413608178314,0.4123547554785662,0.21975822232198036,knn,combine_smotenn
4,0.5508021390374331,0.3695652173913043,0.5477688553055714,0.3402113237639554,0.396808883478395,0.11658922586619241,knn,combine_smotenn
0,0.5591397849462365,0.23404255319148937,0.548956738753282,0.23196778711484592,0.4282062959632227,-0.043111426024446536,lgbm,combine_smotenn
1,0.521505376344086,0.44680851063829785,0.5220363917924894,0.43444995864350705,0.3960714337918081,0.235487934995471,lgbm,combine_smotenn
2,0.5752688172043011,0.425531914893617,0.56974541479563,0.42218660968660965,0.4383784809718332,0.24552318791199568,lgbm,combine_smotenn
3,0.6149732620320856,0.41304347826086957,0.6087835775335775,0.36753246753246754,0.45612464952909226,0.11246582063640842,lgbm,combine_smotenn
4,0.5935828877005348,0.5217391304347826,0.5876288385507292,0.4381027615944175,0.45956348740333663,0.2864928477310195,lgbm,combine_smotenn
0,0.11827956989247312,0.1276595744680851,0.07051282051282053,0.07547169811320754,0.0,0.0,mlp,combine_smotenn
1,0.489247311827957,0.46808510638297873,0.4922845863471821,0.4717402824819705,0.36237493879755317,0.2869537456608472,mlp,combine_smotenn
2,0.5268817204301075,0.40425531914893614,0.5229232664061346,0.39682539682539675,0.38457985138515344,0.2095491280092189,mlp,combine_smotenn
3,0.5454545454545454,0.41304347826086957,0.5388997125296301,0.39666939666939666,0.38287915448011706,0.20046838713967444,mlp,combine_smotenn
4,0.12299465240641712,0.10869565217391304,0.07301587301587302,0.06535947712418301,0.0,0.0,mlp,combine_smotenn
0,0.5967741935483871,0.3617021276595745,0.5881972291299945,0.34887334887334887,0.46468060716390563,0.15041627098318341,rf,combine_smotenn
1,0.4946236559139785,0.46808510638297873,0.49302681992337166,0.4559454191033138,0.37425631433944523,0.2602618275108083,rf,combine_smotenn
2,0.5483870967741935,0.46808510638297873,0.5453519803377938,0.4623626183728485,0.40127853046799455,0.3253108476199291,rf,combine_smotenn
3,0.5347593582887701,0.30434782608695654,0.5188270778476964,0.2630157046912084,0.39348043542603917,0.020228099705671597,rf,combine_smotenn
4,0.5133689839572193,0.41304347826086957,0.5064804499633182,0.3797979797979798,0.3663940718955772,0.16737496196238952,rf,combine_smotenn
0,0.6290322580645161,0.5319148936170213,0.5856558739698631,0.4953548866592345,0.4447225872654282,0.3112600781170421,sgd,under_random
1,0.6182795698924731,0.48936170212765956,0.577723506711596,0.4255143352887713,0.40121149155524244,0.18154838986218796,sgd,under_random
2,0.6720430107526881,0.48936170212765956,0.6233200965848408,0.43292452830188677,0.45892953267123776,0.1289465520957166,sgd,under_random
3,0.5935828877005348,0.4782608695652174,0.52773954567769,0.4043884220354809,0.39500877279998936,0.15720532008800842,sgd,under_random
4,0.6577540106951871,0.5,0.63513298295907,0.398406731113498,0.4912664412110734,0.203507871657292,sgd,under_random
0,0.553763440860215,0.46808510638297873,0.48566399497092566,0.4126293995859213,0.2894184773862398,0.17878416990800072,svc,under_random
1,0.510752688172043,0.6170212765957447,0.3926892292178736,0.5611577964519142,0.17920361356298578,0.3402182676924845,svc,under_random
2,0.6182795698924731,0.3404255319148936,0.5786698463169051,0.36056166056166056,0.3911205165156431,0.0374540346508656,svc,under_random
3,0.6631016042780749,0.4782608695652174,0.6202467637540453,0.4375519904931669,0.43788803201896875,0.09118766966103459,svc,under_random
4,0.5828877005347594,0.45652173913043476,0.5868058935970651,0.3894021888577242,0.43956416383791863,0.17728987003100494,svc,under_random
0,0.5591397849462365,0.6382978723404256,0.44288978535553886,0.5508193615610496,0.2500627725216103,0.38720070513875543,knn,under_random
1,0.5698924731182796,0.5319148936170213,0.4790066564260113,0.4158730158730159,0.25914870051018457,0.1938190631297549,knn,under_random
2,0.5698924731182796,0.3829787234042553,0.48296686734017175,0.3641456582633053,0.28030053063212695,0.06638981644740576,knn,under_random
3,0.6203208556149733,0.5,0.5282924270706385,0.36548291633037394,0.35766247676470303,0.05666140869670737,knn,under_random
4,0.5561497326203209,0.5217391304347826,0.4723795515747571,0.3319209039548023,0.2314263005773481,0.1350203490055813,knn,under_random
0,0.6935483870967742,0.5106382978723404,0.6537240537240537,0.4393159460077785,0.5291834558822652,0.21784446660116671,lgbm,under_random
1,0.6989247311827957,0.5531914893617021,0.6664680569347898,0.5084318360914106,0.5443522358329154,0.309886346186942,lgbm,under_random
2,0.6989247311827957,0.3404255319148936,0.7042598066046342,0.28330041694096997,0.5230580276292618,-0.09781954114535153,lgbm,under_random
3,0.732620320855615,0.5,0.6994414615590911,0.45804368471035134,0.5752204689904433,0.11403344886082664,lgbm,under_random
4,0.6524064171122995,0.5217391304347826,0.6457996492198822,0.4263247863247863,0.48151603359057465,0.18489764616623047,lgbm,under_random
0,0.11827956989247312,0.1276595744680851,0.07051282051282053,0.07547169811320754,0.0,0.0,mlp,under_random
1,0.3010752688172043,0.2978723404255319,0.15426997245179064,0.15300546448087432,0.0,0.0,mlp,under_random
2,0.3010752688172043,0.2978723404255319,0.15426997245179064,0.15300546448087432,0.0,0.0,mlp,under_random
3,0.2994652406417112,0.30434782608695654,0.15363511659807957,0.15555555555555556,0.0,0.0,mlp,under_random
4,0.12299465240641712,0.10869565217391304,0.07301587301587302,0.06535947712418301,0.0,0.0,mlp,under_random
0,0.6559139784946236,0.5106382978723404,0.6178058982368825,0.46060606060606063,0.4931219859247989,0.266708515086868,rf,under_random
1,0.6344086021505376,0.574468085106383,0.5953601293673672,0.5286609686609687,0.4389369104311789,0.3095517423099226,rf,under_random
2,0.7365591397849462,0.3829787234042553,0.7164702432964155,0.3547938008930917,0.5746556618964379,0.02979676405643673,rf,under_random
3,0.679144385026738,0.5,0.6273343766301513,0.3967532467532468,0.4687010510077677,0.12800706180718857,rf,under_random
4,0.6417112299465241,0.5652173913043478,0.6036899635447271,0.43346311270839566,0.4593568976238486,0.277295687579422,rf,under_random
0,0.7096774193548387,0.5319148936170213,0.6174318486065474,0.2758430071862908,0.4505842162047157,0.02459832745091641,sgd,none
1,0.7956989247311828,0.574468085106383,0.7330899026277179,0.4611111111111111,0.6206494955902914,0.19117875289445663,sgd,none
2,0.8010752688172043,0.5531914893617021,0.7577685279719364,0.36725146198830405,0.6293683063780879,0.15883866395192625,sgd,none
3,0.8021390374331551,0.5869565217391305,0.7651338560429469,0.4720133667502089,0.6406862197140445,0.20764061664415823,sgd,none
4,0.7807486631016043,0.6521739130434783,0.7354099534550662,0.4748677248677248,0.5945053092539635,0.3129646278291183,sgd,none
0,0.489247311827957,0.5106382978723404,0.3524567205983135,0.44891015417331204,0.046157581325687626,0.1261129849644751,svc,none
1,0.7096774193548387,0.5319148936170213,0.616111111111111,0.38359788359788355,0.44522505241261207,0.05662256622305255,svc,none
2,0.5860215053763441,0.48936170212765956,0.4255910224577424,0.37017543859649127,0.2211248101450314,0.05867021306228385,svc,none
3,0.9411764705882353,0.5434782608695652,0.9324270737174412,0.4299292661361627,0.8947672186968433,0.12027080458945587,svc,none
4,0.9144385026737968,0.6086956521739131,0.9150072150072149,0.44047619047619047,0.846789983621989,0.20121000156130636,svc,none
0,0.6720430107526881,0.574468085106383,0.5228866740494648,0.3923147420790783,0.36001116144590456,0.12576577987732623,knn,none
1,0.6236559139784946,0.5531914893617021,0.43848416000314727,0.28761297182349815,0.25086397367035473,0.08965795978606303,knn,none
2,0.6666666666666666,0.46808510638297873,0.5039598960450307,0.27360774818401934,0.34568205457836865,-0.02881802497174443,knn,none
3,0.5989304812834224,0.6086956521739131,0.35508300012116806,0.43004276861307494,0.18356353509156145,0.17595609931195108,knn,none
4,0.679144385026738,0.6521739130434783,0.5542051981740698,0.49603174603174605,0.38350535694724575,0.3129646278291183,knn,none
0,1.0,0.574468085106383,1.0,0.4256223436551306,1.0,0.1778132087671827,lgbm,none
1,0.8870967741935484,0.6170212765957447,0.8678141895619552,0.38626964433416044,0.7943484989643916,0.24417043278046635,lgbm,none
2,0.9946236559139785,0.46808510638297873,0.9954608986867051,0.37912457912457914,0.9903978517485162,0.02992031858438311,lgbm,none
3,0.9037433155080213,0.6086956521739131,0.8834297581961134,0.5244379276637341,0.8263614963210103,0.22117081796095509,lgbm,none
